Jenis_Biji,Asal_Daerah,Ketinggian_Tanam_mdpl,Suhu_Roasting_C,Waktu_Roasting_Menit,Kelembapan_Persen,Skor_Cacat,Status_QC
Arabica,Sulawesi,1712.0,218.9,9.0,11.21,0.7,Approved
Robusta,Bali,807.1,199.8,10.9,8.71,0.2,Approved
Robusta,Bali,762.6,198.2,12.9,10.8,1.3,Rejected
Arabica,Bali,1226.8,208.7,13.5,9.71,1.0,Rejected
Arabica,Sulawesi,1742.4,194.6,16.4,12.04,2.4,Approved
Arabica,Jawa,1552.3,203.8,13.9,14.86,3.4,Approved
Arabica,Sulawesi,1426.1,215.7,11.9,11.75,1.6,Approved
Robusta,Jawa,751.4,197.3,10.2,8.01,0.1,Approved
Arabica,Sulawesi,1144.8,195.1,10.9,10.46,1.9,Approved
Robusta,Sulawesi,902.0,197.5,10.8,11.18,0.1,Approved
Arabica,Jawa,1294.1,209.5,13.3,11.13,1.9,Approved
Robusta,Bali,676.3,210.6,12.5,9.9,2.3,Approved
Robusta,Jawa,841.5,202.4,9.4,11.37,0.4,Approved
Arabica,Sumatera,1722.5,208.4,11.1,9.14,3.4,Approved
Arabica,Sumatera,1374.1,212.0,13.8,9.58,4.8,Approved
Arabica,Jawa,1806.7,213.9,12.7,11.97,3.4,Approved
Arabica,Sulawesi,1392.8,203.8,13.1,9.48,0.7,Approved
Arabica,Sumatera,1158.5,193.5,12.8,11.81,1.8,Approved
Arabica,Sumatera,1276.7,200.9,15.3,8.95,4.9,Approved
Arabica,Sulawesi,1747.2,202.9,12.5,13.65,0.8,Approved
Arabica,Sulawesi,1468.8,203.7,11.2,9.84,3.4,Approved
Arabica,Bali,1390.3,204.1,10.2,10.66,0.0,Approved
Arabica,Sulawesi,1532.0,210.6,12.5,11.5,0.0,Approved
Arabica,Jawa,1600.4,211.4,7.1,10.15,2.9,Approved
Arabica,Jawa,1723.5,204.1,11.6,11.22,2.9,Approved
Robusta,Bali,896.9,210.5,11.6,11.86,3.1,Rejected
Arabica,Sumatera,1428.0,206.8,9.3,12.44,5.3,Approved
Arabica,Sumatera,1234.8,205.3,10.1,12.19,0.3,Approved
Arabica,Sulawesi,1417.3,209.5,13.6,10.74,0.5,Approved
Arabica,Jawa,1552.1,205.4,12.5,10.78,4.7,Approved
Arabica,Sumatera,1307.2,215.3,12.2,,0.4,Rejected
Arabica,Bali,1308.6,197.8,12.6,12.42,2.3,Approved
Arabica,Bali,1568.8,202.4,12.2,9.62,1.5,Approved
Robusta,Jawa,829.7,204.4,14.5,11.15,0.2,Approved
Robusta,Bali,708.9,207.2,12.2,10.5,0.7,Approved
Robusta,Bali,739.3,211.3,9.1,10.8,1.5,Approved
Arabica,Jawa,1453.9,204.9,15.3,9.16,3.8,Approved
Arabica,Sulawesi,1315.2,197.9,12.7,10.38,2.5,Approved
Arabica,Sulawesi,1678.0,209.2,10.8,13.72,1.9,Rejected
Arabica,Bali,1707.0,208.8,9.5,11.87,1.4,Approved
Arabica,Sulawesi,1130.8,195.3,12.8,7.26,0.7,Rejected
Arabica,Sulawesi,1314.1,205.0,11.8,12.83,0.3,Approved
Arabica,Bali,1200.7,197.0,15.1,12.63,1.1,Approved
Robusta,Sulawesi,720.1,201.7,11.3,10.46,0.1,Approved
Arabica,Bali,1483.3,200.5,10.3,12.08,0.5,Approved
Arabica,Sumatera,1210.1,209.0,13.8,9.71,1.1,Rejected
Arabica,Jawa,1315.6,205.6,13.9,10.29,1.1,Approved
Arabica,Jawa,1299.2,198.6,12.3,13.25,0.1,Approved
Arabica,Sulawesi,1541.5,209.4,13.4,10.59,1.8,Approved
Arabica,Sulawesi,1513.9,197.8,11.9,8.2,1.6,Approved
Robusta,Sulawesi,873.1,206.7,12.5,10.91,0.2,Approved
Robusta,Jawa,960.8,200.9,14.3,10.88,5.7,Rejected
Robusta,Sumatera,668.1,203.2,13.3,12.8,0.2,Rejected
Robusta,Sumatera,852.3,207.5,11.7,11.02,3.9,Approved
Arabica,Jawa,1834.7,207.6,14.7,10.37,0.0,Approved
Robusta,Sumatera,927.0,211.7,7.3,12.57,4.3,Approved
Arabica,Jawa,1240.1,204.6,16.1,11.18,0.0,Approved
Arabica,Sumatera,1665.9,206.5,8.6,9.87,2.8,Approved
Arabica,Bali,1662.3,202.8,10.7,12.73,0.9,Approved
Arabica,Bali,1270.3,205.9,11.9,11.29,2.7,Approved
Arabica,Jawa,1663.8,207.2,11.7,11.0,1.0,Approved
Arabica,Sumatera,1807.6,204.5,14.0,11.27,0.1,Approved
Robusta,Sulawesi,641.2,196.0,9.9,9.39,2.9,Approved
Arabica,Sumatera,1316.5,206.7,12.5,10.21,0.1,Approved
Arabica,Bali,1703.5,206.8,10.8,11.01,5.1,Rejected
Arabica,Bali,1554.3,201.6,12.6,10.71,0.1,Approved
Arabica,Sumatera,1610.3,198.6,11.9,12.91,1.3,Approved
Robusta,Sumatera,507.6,212.4,12.2,11.33,2.6,Approved
Arabica,Sulawesi,1578.1,207.5,10.9,12.28,1.0,Approved
Robusta,Sulawesi,467.2,203.9,11.0,11.01,0.5,Approved
Robusta,Sumatera,1005.5,199.3,12.6,12.58,2.8,Approved
Arabica,Sumatera,1733.9,200.9,13.9,11.6,3.1,Approved
Arabica,Sumatera,1454.1,211.5,10.8,11.02,5.1,Approved
Robusta,Sumatera,941.9,205.7,10.3,10.98,0.9,Approved
Robusta,Jawa,664.9,202.2,13.2,9.57,1.4,Approved
Robusta,Sumatera,630.1,207.5,11.9,11.76,0.9,Approved
Robusta,Sulawesi,852.6,200.9,13.7,10.94,0.6,Approved
Arabica,Bali,1487.6,212.5,10.2,10.25,2.8,Approved
Arabica,Jawa,1724.9,211.8,8.4,12.66,0.8,Approved
Arabica,Sumatera,1433.2,202.7,10.9,9.12,1.1,Approved
Robusta,Bali,532.8,201.9,10.5,,1.0,Approved
Arabica,Jawa,1296.1,191.9,11.8,12.54,2.5,Approved
Arabica,Bali,1495.3,197.6,10.7,11.47,5.0,Approved
Arabica,Sumatera,1465.1,198.3,13.5,10.93,2.2,Approved
Arabica,Sumatera,1545.1,205.7,11.4,11.38,1.3,Approved
Arabica,Sulawesi,1426.1,203.4,12.3,11.27,3.0,Approved
Robusta,Sumatera,976.0,198.3,12.3,8.73,2.0,Rejected
Arabica,Sumatera,1665.2,203.6,12.4,10.48,0.1,Approved
Robusta,Jawa,748.9,207.5,12.0,13.42,0.2,Approved
Arabica,Sulawesi,1178.7,207.6,13.0,,0.1,Approved
Arabica,Jawa,1849.9,195.5,10.4,10.52,1.2,Approved
Robusta,Bali,833.5,204.4,14.8,10.19,3.5,Approved
Robusta,Sumatera,882.8,198.1,11.5,10.87,0.8,Approved
Arabica,Bali,1637.9,209.5,9.4,10.13,1.0,Approved
Robusta,Jawa,509.5,208.9,12.4,11.73,4.8,Approved
Arabica,Sumatera,1552.7,200.5,10.3,11.3,3.6,Approved
Arabica,Sumatera,1558.8,201.2,13.3,12.16,2.2,Approved
Arabica,Jawa,1453.1,202.7,16.4,9.42,0.6,Approved
Arabica,Jawa,1343.2,193.7,10.4,10.49,0.2,Approved
Arabica,Jawa,1361.9,206.7,12.7,10.66,0.0,Approved
Arabica,Jawa,1316.8,203.6,8.5,11.68,0.2,Approved
Arabica,Jawa,1333.6,209.9,12.9,9.81,0.7,Approved
Arabica,Sumatera,1486.6,199.5,10.2,12.37,1.6,Approved
Arabica,Jawa,1356.8,201.9,10.8,12.78,0.1,Approved
Robusta,Sumatera,990.1,197.5,9.8,9.52,0.3,Approved
Arabica,Sumatera,1797.4,200.0,13.5,10.26,0.4,Approved
Arabica,Jawa,1384.0,199.1,14.0,10.2,2.0,Approved
Robusta,Jawa,600.0,210.0,12.0,14.95,1.9,Rejected
Arabica,Sulawesi,1599.9,201.5,10.3,10.36,1.6,Approved
Arabica,Sumatera,1594.4,205.6,15.2,13.52,0.6,Rejected
Arabica,Jawa,1515.2,203.1,10.5,9.1,0.9,Approved
Arabica,Jawa,1648.5,198.7,7.7,9.52,0.2,Approved
Robusta,Jawa,926.5,204.2,12.9,9.97,0.5,Approved
Robusta,Sulawesi,974.4,208.0,9.8,9.73,4.6,Approved
Arabica,Sulawesi,1673.8,199.0,14.0,10.6,7.8,Rejected
Robusta,Bali,626.5,209.0,11.2,9.94,2.1,Approved
Robusta,Sumatera,927.5,200.8,13.2,9.77,5.0,Approved
Arabica,Bali,1507.6,202.6,14.8,12.74,2.1,Approved
Robusta,Jawa,816.1,207.7,9.6,12.84,0.1,Approved
Arabica,Sulawesi,1458.1,201.7,10.9,,11.5,Rejected
Robusta,Sulawesi,848.5,205.2,11.8,11.79,0.2,Approved
Robusta,Bali,992.6,203.4,15.1,11.14,2.3,Approved
Arabica,Sulawesi,1342.8,205.6,10.7,10.25,0.6,Approved
Arabica,Jawa,1223.8,193.1,10.8,9.57,1.0,Approved
Arabica,Sulawesi,1560.8,195.9,13.0,11.54,2.1,Approved
Arabica,Bali,1644.3,208.1,10.8,9.24,1.1,Approved
Robusta,Jawa,730.8,210.2,12.3,9.51,0.6,Approved
Robusta,Bali,913.5,200.4,8.9,12.73,0.8,Rejected
Arabica,Sulawesi,1232.3,203.8,16.4,13.85,0.8,Approved
Arabica,Bali,1638.6,206.5,9.3,11.59,6.4,Approved
Arabica,Bali,1378.8,208.5,11.4,12.66,3.2,Rejected
Arabica,Sumatera,1843.9,194.9,11.9,10.63,1.2,Approved
Arabica,Sulawesi,1898.5,200.6,15.8,8.99,0.4,Approved
Arabica,Sulawesi,1346.7,203.3,9.4,11.92,3.3,Approved
Robusta,Bali,794.9,208.5,16.0,11.85,0.3,Approved
Arabica,Sumatera,1671.9,217.5,13.5,11.11,0.5,Approved
Arabica,Sulawesi,1422.6,203.9,12.8,10.64,0.9,Approved
Robusta,Jawa,713.3,198.0,10.0,12.44,4.2,Approved
Arabica,Bali,1505.1,207.0,13.1,9.52,0.3,Approved
Robusta,Sulawesi,800.2,211.6,10.6,9.84,0.3,Approved
Robusta,Jawa,859.3,205.5,14.5,9.49,1.4,Rejected
Arabica,Sulawesi,1362.1,200.5,10.1,11.13,0.6,Approved
Arabica,Jawa,1401.4,209.8,11.8,9.37,1.7,Approved
Arabica,Bali,1788.7,208.3,10.9,9.97,1.2,Approved
Arabica,Sulawesi,1248.7,199.9,10.0,9.94,1.1,Rejected
Arabica,Sulawesi,1662.6,206.9,13.5,10.61,0.2,Approved
Arabica,Sumatera,1444.2,210.0,13.1,8.77,0.3,Approved
Arabica,Bali,1444.0,210.9,14.4,11.13,3.4,Approved
Arabica,Jawa,1658.1,,8.4,12.87,4.3,Approved
Arabica,Sulawesi,1568.0,203.2,14.1,11.2,0.5,Approved
Robusta,Sulawesi,656.2,211.1,17.0,13.31,0.2,Rejected
Arabica,Jawa,1693.6,,11.1,13.0,0.1,Approved
Arabica,Bali,1433.7,207.2,15.8,12.17,1.9,Approved
